N,ID,縣市,鄉鎮市區,路名,郵遞區號,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
18,PU-19,新竹縣,寶山鄉,館前路,308,0.4339124408209225,5,3,6,2,4,2,29.83333333333333,-0.2626326155235165,0.9371155146562142,1.0,249191,2739837,,0.0855744272462157,0.1035023350988595,-0.4384519028208025
19,PU-20,新北市,板橋區,新府路,220,-1.2296426535517313,5,6,24,2,4,0,13.666666666666666,-0.9290969599109884,0.629699684396977,1.0,296947,2767100,,-1.2055414898928538,-1.183073325537051,-0.0605312889638079
20,PU-21,新北市,土城區,慶利街,236,-1.0635947737080391,1,7,13,3,4,0,26.916666666666668,-0.842916225722953,-0.8193256863726953,0.0,293897,2762842,,-0.5390495747351746,-1.1301769787469802,-0.4384519028208025
21,PU-22,新北市,汐止區,林森街,221,2.3150674055228264,1,16,21,2,4,0,29.08333333333333,1.0628270762884646,0.8768681911380726,1.0,312914,2770635,,1.2273237352158224,0.7331394952774415,-0.1566128009613488
22,PU-23,新北市,板橋區,漢生東路,220,-0.9001184849981257,5,14,29,2,5,0,14.166666666666666,0.5940038823055531,-0.0778201661494089,1.0,297363,2767150,,0.3877023412480836,0.2383027027251683,1.1180685915393611
23,PU-24,新北市,汐止區,民權街二段,221,1.610691770487522,1,3,4,2,4,1,40.66666666666666,-0.3534096555349135,-0.8193256863726953,0.0,312565,2771159,,0.2264542972583228,0.5693314536049651,-0.4384519028208025
24,PU-25,台北市,士林區,中山北路六段,111,0.9980522415983116,5,4,5,2,4,1,38.25,-0.2626326155235165,-0.8193256863726953,0.0,303263,2777381,,0.2694537756555923,0.7570281680213444,-0.4384519028208025
25,PU-26,新竹縣,竹北市,聯發街,302,-0.2478476123743311,5,10,14,2,4,0,7.0,-0.4005217902243726,0.6018932273886036,1.0,252598,2746865,,-0.7305669883861716,-0.8383939045178812,0.8469052132351903
26,PU-27,新竹縣,竹北市,嘉興路,302,0.4591957480427444,5,3,14,2,4,0,3.6666666666666665,0.4411767136787705,1.0591549648596303,1.0,252748,2745506,,0.1104688621077927,0.6512354744412031,-0.1822345374940263
27,PU-28,桃園市,桃園區,正光二街,330,-0.0751424358572127,5,5,15,2,4,0,1.4166666666666667,0.1182862295875991,0.3748071618202223,1.0,279922,2765889,,-0.1687448561692144,0.1888190234699411,-0.2270725764262122
28,PU-29,台北市,內湖區,內湖路一段,114,0.0603347531251133,5,3,5,2,4,1,40.91666666666666,-0.7257104272272253,-0.8193256863726953,0.0,307508,2775026,,-0.5461218573663045,0.4242930833741261,-0.4384519028208025
29,PU-30,新北市,林口區,文化三路二段,244,0.5937836952311469,5,7,19,4,4,0,9.083333333333334,2.107912112875371,0.972645987500247,1.0,287830,2774601,,2.0726029552884646,1.637496392010906,-0.1309910644286711
30,PU-31,台北市,大安區,永康街,106,1.6561392362256058,5,3,4,4,1,1,56.5,0.0286582660320423,-0.8193256863726953,0.0,303417,2769537,露台16.12,0.7591386250350248,-1.6420771089734696,3.003401371402221
31,PU-32,新竹市,新竹市,和平路,300,-0.4375925843479809,5,9,13,2,4,0,24.25,0.6267525612970068,-0.8193256863726953,1.0,245549,2744665,,0.295196884432905,0.5846884575117597,0.1529831821418385
32,PU-33,台北市,內湖區,成功路三段,114,0.964741724669182,5,6,7,2,4,2,35.083333333333336,-0.0023667982756501,-0.8193256863726953,0.0,309499,2774740,,0.453333124064969,0.4481817561180291,-0.2761809047805111
33,PU-34,新北市,中和區,連城路,235,0.3060779245539382,5,4,5,2,4,1,39.833333333333336,-0.3626022671816371,-0.8193256863726953,0.0,298896,2765268,,0.100567666424211,1.2382142904342444,-0.4384519028208025
34,PU-35,新北市,新莊區,後港一路,242,-0.5713633904284542,5,6,7,2,4,2,28.916666666666668,-0.7394993446973109,-0.8193256863726953,0.0,293236,2768741,,-0.7857307929089847,-0.3043114353149105,-0.4384519028208025
35,PU-36,高雄市,三民區,十全三路,807,-1.1043797284185248,5,9,22,10,4,0,0.25,-0.7917823234380523,-0.4377593040911291,1.0,177162,2505330,,-1.230153033449186,0.0352489844019942,-0.0925584596296551
36,PU-37,台北市,北投區,杏林二路,112,0.594696970587068,5,4,5,2,4,1,36.16666666666666,-0.3442170438881896,-0.8193256863726953,0.0,300059,2781685,,0.371860428154353,-0.2172884131764073,-0.4384519028208025
37,PU-38,台北市,中山區,安東街,104,1.0381642565728555,5,3,4,2,4,1,51.41666666666666,-0.0287955567599811,-0.8193256863726953,0.0,303403,2771191,,0.1466789491791777,-0.4698258107548087,1.5280163760622023
38,PU-39,新北市,三重區,新興路,241,-0.4366552754300618,5,9,15,10,4,0,0.3333333333333333,0.1102426943967159,-0.8193256863726953,0.0,299678,2771790,,-0.226171791133989,0.0335426506345726,0.3750382320917112
39,PU-40,新北市,永和區,仁愛路,234,1.334065471891358,5,3,7,2,4,2,33.083333333333336,1.1708402631374684,-0.8193256863726953,0.0,301923,2767351,,2.331165608282573,1.3542449866189152,-0.4384519028208025
40,PU-41,新北市,中和區,民富街,235,0.1317624993829586,5,2,4,2,4,1,45.0,-1.0675606728397649,-0.8193256863726953,0.0,298107,2766687,,-0.7735664667834413,-0.4135167964298948,-0.4384519028208025
41,PU-42,桃園市,中壢區,環中東路,320,-0.7354405181883158,5,14,14,2,4,0,17.583333333333332,-0.1103799851246539,0.1585347184217637,1.0,275866,2761769,,-0.2210797476395757,0.1871126897025195,0.0889288408101444
42,PU-43,高雄市,鼓山區,美術東七街,804,-1.0137491661243343,5,7,15,2,4,0,15.583333333333334,-0.5648397234095597,-0.0191176457983987,1.0,176999,2507091,,-0.8089278799390908,-0.8093862304717134,-0.0989638937628244
43,PU-44,新竹市,新竹市,中華路二段,300,-0.512072592979563,5,8,18,10,4,0,9.416666666666666,0.3205236858155217,0.4767641708509242,1.0,247790,2744263,,0.1257449925910334,-0.5107778211729279,0.7700400036371572
44,PU-45,新北市,板橋區,金門街,220,0.0570661886933952,5,2,11,2,4,0,8.666666666666666,-0.572883258600443,0.6034380305557356,1.0,293236,2763983,,-0.748389140616619,-0.4049851275927867,-0.4384519028208025
45,PU-46,基隆市,安樂區,安和二街,204,0.1480812879795524,5,13,16,6,4,0,25.75,0.1619511349095367,-0.8193256863726953,0.0,322697,2780258,,0.2357897103314142,0.1086213364011243,-0.4384519028208025
46,PU-47,高雄市,鼓山區,美術東二路,804,-0.3455680754579104,5,14,15,2,4,0,15.583333333333334,0.851397008413818,-0.0361104806368489,1.0,176872,2507051,,0.6901131465551973,0.4652450937922453,-0.1886399716271959
47,PU-48,新北市,淡水區,中山北路二段,251,0.1820166775206284,5,8,14,2,4,0,12.166666666666666,0.1832090493425857,-0.0067592204613439,2.0,294438,2786400,,-0.1141468342568919,0.161517683191195,0.6696882022175034
48,PU-49,屏東縣,屏東市,民享路,900,0.320041424074735,5,3,7,10,4,2,28.25,0.1895289698497084,-0.8193256863726953,0.0,198540,2508250,,-0.0069310295689629,0.4703640950945104,-0.4384519028208025
49,PU-50,台北市,士林區,中山北路六段,111,1.005454578693674,5,4,5,2,4,1,42.66666666666666,-0.0046649511873309,-0.8193256863726953,0.0,303118,2777963,,0.797328951243126,0.5505617821633269,-0.4384519028208025
50,PU-51,新北市,板橋區,民生路一段,220,-0.9638314578546356,5,20,29,2,5,0,18.75,0.6888026899123917,2.415492145601392,2.0,298163,2767120,,0.8912488645845309,1.1170645929473089,-0.4384519028208025
51,PU-52,新北市,板橋區,龍泉街,220,-0.3882036144422367,5,2,7,2,4,2,24.25,-0.8475125315463148,0.9556531526617966,1.0,295986,2768659,,-0.8247697930328215,-0.4391118029412194,-0.4384519028208025
52,PU-53,新北市,蘆洲區,環堤大道,247,-1.129422700020367,5,4,14,2,4,0,22.666666666666668,-1.0934148930961751,1.0869614218680037,1.0,296115,2775057,,-1.1433054027389111,-0.4920081497312899,-0.4384519028208025
53,PU-54,新北市,板橋區,環河西路五段,220,-0.2864214793810072,5,10,19,10,4,0,0.5,-0.0391372448625451,0.265126136953861,1.0,295759,2768843,,-0.4516361614144093,0.0574313233784755,0.5052820594661556
54,PU-55,高雄市,苓雅區,中華四路,802,-1.2502634497459542,5,16,22,2,4,0,27.5,-0.3166392089480184,-0.8193256863726953,0.0,178266,2501724,,-0.0117401817581312,0.0727883272852702,0.1038748537875397
55,PU-56,台北市,大安區,仁愛路四段,106,0.9823583256136638,5,7,7,2,4,2,37.0,0.8772512286702286,-0.8193256863726953,0.0,305977,2770002,,1.6044178451076674,-0.1746300689908665,3.37278140641499
56,PU-57,台北市,大安區,樂業街,106,-0.2734914230261212,5,6,7,2,4,2,41.41666666666666,-0.2752724565377614,-0.8193256863726953,0.0,305941,2768051,,-0.1396070517289596,0.8082181810439932,-0.4384519028208025
57,PU-58,台北市,文山區,景興路,116,0.1925433776757213,5,7,10,5,4,2,29.416666666666668,0.8979346048753574,-0.8193256863726953,0.0,304837,2764912,,1.329730387714583,0.9191298759263994,0.1209560114759914
58,PU-59,新北市,三重區,信義街,241,-0.1547175596323559,5,4,5,2,4,1,44.5,-0.5809267937913262,-0.8193256863726953,0.0,300577,2773090,,0.2222109276796448,-1.6420771089734696,-0.4384519028208025
59,PU-60,台北市,文山區,辛亥路四段,116,-0.215931042041081,5,4,4,2,4,1,45.41666666666666,-1.0727315168910467,-0.8193256863726953,0.0,306069,2766392,,-0.6867188360731665,-0.9851386085161415,-0.4384519028208025
60,PU-61,桃園市,中壢區,環西路,320,-0.9595775173810022,5,9,15,10,4,0,11.5,-0.0805039972728019,-0.0948130009878591,1.0,271558,2761804,,-0.4092024656276301,0.1888190234699411,0.0611719595664105
61,PU-62,桃園市,桃園區,民光東路,330,-0.6533659039653881,5,8,13,2,4,0,19.0,-0.0506280094209496,0.3500903111461128,1.0,281993,2766665,,-0.251914899911302,-0.149035062479542,0.6547421892401081
62,PU-63,新北市,土城區,延壽路,236,-1.3132794493045243,5,11,19,2,4,0,26.33333333333333,-1.0842222814494515,-0.8193256863726953,0.0,297613,2764802,,-1.1005888156468866,-0.422048465267003,-0.2911269177579064
63,PU-64,高雄市,三民區,鼎中路,807,-0.7557729116385637,5,13,14,2,4,0,14.833333333333334,-0.0322427861275021,-0.0438344964725083,1.0,180502,2508434,,-0.1393241604237143,-1.1114073073053423,0.6099041503079224
64,PU-65,台北市,大安區,金山南路二段,106,-0.231504790215739,5,7,24,2,5,0,2.6666666666666665,0.1067954650291943,1.3016890620993302,1.0,303101,2768983,,-0.0751078341330552,-0.5739121705675283,-0.4384519028208025
65,PU-66,新竹縣,竹北市,莊敬三路,302,-0.1176818405935471,5,13,32,2,5,0,6.25,2.6640651175021577,1.517961505497789,2.0,252703,2746623,,1.888440715573843,2.8233983603689405,0.6077690055968656
66,PU-67,新北市,蘆洲區,長安街,247,1.3409390706227655,5,4,5,2,4,1,17.5,0.0981773916103908,-0.8193256863726953,0.0,296431,2774874,,0.1509223187578557,-0.0637183741084604,-0.4384519028208025
67,PU-68,台南市,北區,開元路,704,-0.9974784446517364,5,12,14,10,4,0,23.416666666666668,-0.7682262560933225,-0.8193256863726953,0.0,170509,2545649,,-0.6912450969570896,-0.5670868354978418,-0.4384519028208025
68,PU-69,高雄市,楠梓區,創新路,811,-1.1407665412833894,5,6,15,10,4,0,2.1666666666666665,-0.9618456389024416,-0.8193256863726953,0.0,181285,2516778,,-1.2830537075300374,0.3202067235614066,-0.4384519028208025
69,PU-70,新北市,板橋區,四維路,220,0.5292535812667075,5,2,4,2,1,1,48.083333333333336,-0.1902407988055665,-0.8193256863726953,0.0,296894,2768774,,0.8587163644813334,-1.6420771089734696,-0.4384519028208025
70,PU-71,台中市,中區,柳川西路三段,400,0.6644664010670561,5,9,15,10,4,0,8.833333333333334,1.73905857055058,1.8578182022667948,2.0,217155,2671008,,1.3534932573551794,1.420792003548359,1.054014250207668
71,PU-72,新北市,土城區,學士路,236,0.2079008237923978,5,23,24,10,5,0,0.25,0.2688152453027004,0.6111620463913947,1.0,295320,2763453,,0.1079228403605858,-0.7018872031241506,0.0611719595664105
72,PU-73,高雄市,鼓山區,中華一路,804,0.8211892588555518,5,4,13,5,4,0,13.25,3.051303883120396,0.9324811051548187,2.0,177271,2506849,,2.074300303119936,-1.6420771089734696,-0.4384519028208025
73,PU-74,新北市,三重區,元富二街,241,-0.6061399546394574,5,18,21,10,4,0,0.0833333333333333,-0.6475732282300732,-0.8193256863726953,0.0,300184,2774530,,-0.9113345324378512,-0.8366875707504596,0.2704161412499442
74,PU-75,新北市,新店區,永安街,231,0.4984665883473602,0,5,5,2,4,1,41.41666666666666,-0.8452143786346339,-0.8193256863726953,0.0,302562,2764207,,-0.4219325743636639,-0.3469697795004513,-0.4384519028208025
75,PU-76,高雄市,前鎮區,林森三路,806,-0.8274409935163882,5,4,12,2,4,0,28.5,-0.1189980585434577,-0.8193256863726953,0.0,178890,2501530,,0.0929296011825909,0.615402465325349,-0.4384519028208025
76,PU-77,新北市,板橋區,三民路二段,220,-0.7526004814548372,5,5,21,2,4,0,30.166666666666668,0.6750137724423061,-0.8193256863726953,0.0,298457,2767873,,1.4055452575202954,1.0436922409481786,-0.14380193269501
77,PU-78,基隆市,中正區,中正路,202,-0.7175595480618566,5,2,5,2,4,1,29.08333333333333,-1.17844655082837,-0.8193256863726953,0.0,326719,2781826,,-1.0403329676296602,-0.2718910937338996,-0.4384519028208025
78,PU-79,新竹縣,竹北市,新國街,302,0.6767235176860001,5,2,6,2,4,2,16.916666666666668,-0.2534400038767924,0.296022200296498,1.0,249496,2748214,,0.1497907535368748,-0.7257758758680535,0.0120636312121119
79,PU-80,新竹縣,竹北市,光明九路,302,-0.3755859943933238,5,7,10,2,4,2,26.166666666666668,-0.2046042545035724,-0.8193256863726953,0.0,250906,2746610,,-0.2855789652354801,-0.4203421314995814,-0.3167486542905838
80,PU-81,高雄市,楠梓區,大學二街,811,-0.1660614008953785,5,5,15,10,4,0,0.4166666666666667,0.1849326640263462,0.5231082658648794,1.0,176445,2513809,,-0.2892565522036676,0.0523123220762104,0.1743346292524035
81,PU-82,高雄市,仁武區,永新五街,814,-0.0434421675819442,5,13,13,10,4,0,0.1666666666666666,-0.7446701887485929,0.6358788970655043,1.0,181752,2509918,,-0.9928072283484676,-0.9510119331677088,-0.4384519028208025
82,PU-83,高雄市,鼓山區,裕國街,804,-0.1299149236504931,5,11,18,2,4,0,9.916666666666666,0.7008679926987168,0.5740867703802304,1.0,177288,2506088,,0.0776534706993502,0.6870684835570575,1.6305033221929133
83,PU-84,台中市,南屯區,大墩六街,408,1.962374883203217,5,10,23,10,4,0,4.166666666666667,3.099565094265696,2.9530836477632745,2.0,213881,2670826,,2.493262326188069,1.9702314766581248,2.2518304331103454
84,PU-85,台北市,大安區,光復南路,106,-1.0485016967733398,5,2,12,5,4,0,34.916666666666664,-0.2856141446403257,-0.8193256863726953,0.0,306271,2769422,,-0.1676132909482338,0.9105982070892914,-0.4384519028208025
85,PU-86,台中市,北屯區,柳陽東街,406,-0.3628241729724236,5,11,13,2,4,0,27.5,0.0786430918611028,-0.2029492226870884,1.0,218863,2674511,,0.3149992758000687,0.6461164731389384,-0.1139099067402197
86,PU-87,台北市,文山區,辛亥路四段,116,-0.3302827300272277,5,6,18,2,4,0,26.25,-1.3312737194551525,-0.8193256863726953,0.0,306429,2766826,,-1.385743251334043,-0.7786722226581242,-0.0690718678080337
87,PU-88,桃園市,中壢區,文化二路,320,0.0497840194080226,5,8,12,2,4,0,17.583333333333332,-0.2568872332443141,-0.8193256863726953,0.0,275278,2763284,,-0.29265124786661,-0.3230811067565484,-0.2548294576699465
88,PU-89,台北市,中正區,羅斯福路二段,100,-0.9213881873662932,5,6,12,4,4,0,32.666666666666664,0.5830876559750692,-0.8193256863726953,0.0,302688,2768857,,0.2323950146684718,4.427352101745274,-0.4384519028208025
89,PU-90,台北市,文山區,辛亥路四段,116,-0.1252524126228947,5,12,26,10,4,0,1.5833333333333333,0.4722017779864632,0.7254774807591514,1.0,306095,2766073,,0.1568630361680047,-0.4015724600579435,1.2269609718032417
90,PU-91,宜蘭縣,羅東鎮,博愛路,265,0.5038260726728984,5,4,5,2,4,1,38.91666666666666,-0.3574314231303551,-0.8193256863726953,0.0,328292,2729526,,0.5860091462249655,-1.6420771089734696,-0.4384519028208025
91,PU-92,高雄市,苓雅區,福建街,802,0.4225445659959021,5,3,5,4,4,1,37.66666666666666,-0.0707368473981579,-0.8193256863726953,0.0,179633,2502326,,0.2069347971964041,0.6375848043018301,-0.4384519028208025
92,PU-93,新北市,中和區,中安街,235,-0.6961696778836995,5,4,14,10,4,0,0.5833333333333334,-0.4757862980819232,-0.1349778833332872,1.0,301648,2766086,,-0.8606969887989614,0.0147729791929347,-0.4384519028208025
93,PU-94,新北市,泰山區,貴子路,243,1.0980799266336925,5,3,5,10,4,1,6.666666666666667,0.3331635268297671,-0.8193256863726953,0.0,293010,2770569,,0.1396066665480478,-0.1234400559682174,0.8362294896799076
94,PU-95,新北市,土城區,金城路三段,236,-0.7897804018656335,0,13,18,2,4,0,23.08333333333333,-0.0747586149935995,-0.8193256863726953,0.0,296917,2764287,,0.0711469706787106,-1.1438276488863532,-0.4384519028208025
95,PU-96,新北市,中和區,中正路,235,0.3124708520453874,5,5,5,2,4,1,36.91666666666666,-0.5263456621389039,-0.8193256863726953,0.0,299060,2765426,,-0.1019825081313484,0.8525828589969556,-0.4384519028208025
96,PU-97,台中市,烏日區,長壽路,414,0.3045878437100667,5,6,12,10,4,0,4.083333333333333,-0.4235033193411818,0.6853125984137233,1.0,208205,2667520,,-0.7031265317773878,-0.3589141158724028,0.0163339206342249
97,PU-98,新北市,汐止區,民族二街,221,-0.4086802092644722,5,4,8,2,4,2,17.083333333333332,-0.8371708434437507,1.001997247675752,1.0,313840,2773744,,-1.1235030113717477,0.8065118472765717,-0.4384519028208025
98,PU-99,新北市,蘆洲區,仁愛街,247,0.288869894163421,5,5,9,2,4,2,21.33333333333333,0.5865348853425902,0.7270222839262832,1.0,297596,2776199,,0.6717252117142595,0.2297710338880603,-0.4384519028208025
99,PU-100,高雄市,三民區,九如一路,807,-0.0056854416831977,5,11,14,10,4,0,32.333333333333336,1.230592238841173,-0.8193256863726953,0.0,179988,2504608,,1.1778177567979131,1.644321727080593,0.0633071042774666
100,PU-101,高雄市,楠梓區,援中路,811,-0.6188056418123662,5,8,15,10,4,0,0.4166666666666667,-0.4625719188397577,0.5231082658648794,1.0,176428,2513797,,-0.9039793585014764,-0.4118104626624733,0.3430110614258639
101,PU-102,新北市,土城區,中華路二段,236,3.3057308310774625,5,5,8,2,4,2,23.0,1.4357023862086966,-0.8193256863726953,0.0,294473,2763436,,1.043727278111691,0.912304540856713,-0.4384519028208025
102,PU-103,新竹縣,新豐鄉,明新一街,304,0.4153104638345256,5,6,9,4,4,2,0.1666666666666666,0.0028040457756321,0.3732623586530904,1.0,248915,2750799,,-0.2094812041245227,-0.4254611328018463,-0.4384519028208025
103,PU-104,台南市,永康區,復國一路,710,-0.002513011499471,5,4,5,2,4,1,3.333333333333333,-0.8647486783839219,-0.8193256863726953,0.0,172480,2546119,,-0.8295789452219898,-0.6012135108462744,-0.4384519028208025
104,PU-105,新竹縣,竹北市,勝利十一路,302,-1.1350465535278824,5,11,23,2,4,0,5.916666666666667,-0.7820151735634083,0.5833555893830216,1.0,253190,2746400,,-1.0669247503227084,-0.6592288589386099,-0.1779642480719134
105,PU-106,新北市,淡水區,新市一路三段,251,-0.078795537280898,5,3,20,2,4,0,7.083333333333333,0.0596833303397352,-0.1272538674976279,1.0,294918,2786564,,-0.0021218773797949,-0.3196684392217052,-0.4384519028208025
106,PU-107,苗栗縣,頭份市,永昌街,351,0.1572621086627611,1,4,7,2,4,2,24.666666666666668,-0.5131312828967384,-0.1921356005171655,1.0,242244,2729160,,-0.3664858785356059,-0.102964050759158,-0.4384519028208025
107,PU-108,台中市,大里區,祥興路,412,-0.0237827138676382,5,2,15,10,4,0,0.6666666666666666,-0.2494182362813507,0.6080724400571311,1.0,217619,2668154,,-0.5152867050945782,-0.0927260481546281,-0.4384519028208025
108,PU-109,新北市,新莊區,立信三街,242,-0.4268255485729088,5,13,13,2,4,0,16.5,0.1889544316217875,0.4752193676837923,1.0,294791,2771403,,-0.108489008151988,0.39699174309538,0.3750382320917112
109,PU-110,桃園市,桃園區,天祥三街,330,-0.0663942192899665,5,10,12,2,4,0,16.25,-0.5108331299850576,0.569452360878835,1.0,280771,2767709,,-0.6485285098650652,-1.2547393437687593,0.940851580521675
110,PU-111,台中市,西區,公益路,403,-0.4296134417646683,5,8,14,10,4,0,21.916666666666668,0.599749264584756,-0.4841033991050846,1.0,214914,2671719,,0.5475359287116189,-0.2428834196877318,-0.4384519028208025
111,PU-112,新北市,新莊區,思源路,242,2.3509495135857343,5,8,9,10,4,2,6.333333333333333,0.9479194307044176,2.5468004148075982,2.0,296535,2771442,,0.7905395599172415,0.4055234119324882,-0.4384519028208025
112,PU-113,新北市,土城區,中央路四段,236,-0.703499914293068,5,9,15,2,4,0,15.25,-0.2362038570391855,-0.8193256863726953,0.0,291694,2760621,,-0.359413595904476,0.2127076962138437,0.2426592600062105
113,PU-114,新竹市,新竹市,中華路一段,300,0.061127860671045,5,9,15,10,4,0,8.25,0.5135685303967205,1.7280547362277197,2.0,248499,2744706,,0.3509264715662084,-0.0500677039690873,-0.4384519028208025
114,PU-115,新北市,板橋區,幸福路,220,0.8018903085712145,5,2,4,2,4,1,47.0,-0.7285831183668262,-0.8193256863726953,0.0,296414,2768279,,-0.0176808991682806,-1.6420771089734696,-0.4384519028208025
115,PU-116,台中市,北屯區,南興路,406,-0.5134425060134449,5,10,12,10,4,0,2.75,-0.8170620054665426,0.6714093699095369,1.0,220114,2676398,,-1.04740525026079,-0.8025608954020269,-0.3188837990016402
116,PU-117,新北市,板橋區,成都街,220,-0.0777861276769849,5,3,5,2,4,1,41.75,-0.4757862980819232,-0.8193256863726953,0.0,296764,2766496,,0.0657720358790519,0.3389763950030445,-0.4384519028208025
117,PU-118,新北市,淡水區,新市一路三段,251,-0.1901670635793013,5,11,15,2,4,0,12.25,-0.1626629638653956,0.5725419672130986,1.0,294913,2786051,,-0.2997235304977399,-0.1575667313166502,0.1892806422297988
118,PU-119,台南市,東區,利東街,701,-0.785862931259971,5,9,9,2,4,2,26.916666666666668,-1.0589425994209611,0.6744989762438005,1.0,171710,2541136,,-0.9812086848334144,-0.8639889110292057,-0.4384519028208025
119,PU-120,高雄市,鼓山區,美明路,804,-0.7949235841331902,5,10,11,2,4,0,16.833333333333332,-0.7326048859622679,0.0334056618840839,1.0,177127,2507481,,-0.908222728080154,-0.459587808150279,-0.4384519028208025
120,PU-121,高雄市,左營區,大中二路,813,-0.9388605869387874,5,9,23,2,4,0,22.666666666666668,0.2280230311203634,-0.3327126887261635,1.0,179287,2509005,,0.238618623383866,0.4055234119324882,0.1700643398302903
121,PU-122,新北市,中和區,中興街,235,-1.0489343008893026,5,4,14,2,4,0,26.0,-1.3013977316033,-0.8193256863726953,0.0,300397,2764722,,-1.5136101213048712,-0.1541540637818068,-0.4384519028208025
122,PU-123,新北市,永和區,安樂路,234,-0.5684793629887025,5,4,15,2,4,0,13.083333333333334,0.0022295075477115,1.0498861458568394,1.0,301947,2765852,,0.039463144491249,-0.2821290963384293,-0.4384519028208025
